"room_type","reviews","overall_satisfaction","accommodates","bedrooms","price"
"Entire home/apt",48,5,2,1,131
"Entire home/apt",272,5,2,1,98
"Entire home/apt",2,0,4,3,157
"Entire home/apt",90,5,4,1,113
"Entire home/apt",64,5,2,1,119
"Entire home/apt",156,5,2,0,106
"Entire home/apt",59,4.5,8,4,73
"Entire home/apt",99,5,2,1,72
"Entire home/apt",8,5,6,2,114
"Entire home/apt",41,5,2,1,120
"Entire home/apt",131,5,2,1,118
"Entire home/apt",204,5,2,1,84
"Entire home/apt",53,5,4,1,167
"Entire home/apt",28,5,4,1,129
"Entire home/apt",35,5,2,0,85
"Entire home/apt",38,5,3,1,106
"Entire home/apt",7,5,5,2,101
"Entire home/apt",12,5,6,1,82
"Entire home/apt",106,5,4,1,79
"Entire home/apt",28,4.5,4,1,93
"Entire home/apt",13,5,4,1,110
"Entire home/apt",27,5,2,1,74
"Entire home/apt",99,5,2,1,94
"Entire home/apt",32,5,3,1,109
"Entire home/apt",91,5,3,1,84
"Entire home/apt",64,5,5,2,98
"Entire home/apt",93,5,2,1,70
"Entire home/apt",43,4.5,2,1,92
"Entire home/apt",64,5,2,1,89
"Entire home/apt",101,5,2,1,103
"Entire home/apt",82,5,2,1,115
"Entire home/apt",1,0,3,1,107
"Entire home/apt",21,5,2,1,75
"Entire home/apt",19,5,2,0,98
"Entire home/apt",177,5,3,1,127
"Entire home/apt",193,5,4,0,102
"Entire home/apt",51,5,4,2,64
"Entire home/apt",102,5,6,2,121
"Entire home/apt",38,5,2,0,105
"Entire home/apt",41,5,2,0,79
"Entire home/apt",60,5,2,1,75
"Entire home/apt",25,5,2,0,100
"Entire home/apt",7,5,4,1,118
"Entire home/apt",44,5,4,2,85
"Entire home/apt",64,5,2,1,128
"Entire home/apt",37,5,2,1,113
"Entire home/apt",181,4.5,4,2,86
"Entire home/apt",20,5,2,0,83
"Entire home/apt",13,5,2,1,67
"Entire home/apt",65,5,4,1,108
"Entire home/apt",1,0,5,1,64
"Entire home/apt",84,4.5,6,2,187
"Entire home/apt",10,5,4,2,158
"Entire home/apt",14,5,8,3,204
"Entire home/apt",30,5,2,1,258
"Entire home/apt",0,0,4,3,166
"Entire home/apt",11,5,8,3,129
"Entire home/apt",26,5,6,2,201
"Entire home/apt",10,5,2,0,208
"Entire home/apt",37,4.5,4,2,126
"Entire home/apt",0,0,2,1,229
"Entire home/apt",8,4.5,4,2,133
"Entire home/apt",0,0,6,2,228
"Entire home/apt",11,5,5,3,144
"Entire home/apt",127,5,2,1,137
"Entire home/apt",3,4.5,3,0,113
"Entire home/apt",94,5,3,1,94
"Entire home/apt",31,5,3,1,112
"Entire home/apt",165,5,2,1,76
"Entire home/apt",17,5,4,2,72
"Entire home/apt",4,5,2,0,116
"Entire home/apt",103,4.5,4,2,103
"Entire home/apt",24,5,2,1,100
"Entire home/apt",22,5,2,1,123
"Entire home/apt",29,5,3,1,93
"Entire home/apt",26,5,4,0,90
"Entire home/apt",6,5,2,0,88
"Entire home/apt",3,4.5,2,0,83
"Entire home/apt",1,0,2,1,79
"Entire home/apt",60,4.5,2,1,58
"Entire home/apt",18,5,4,2,83
"Entire home/apt",9,4.5,4,0,74
"Entire home/apt",13,5,6,2,71
"Entire home/apt",12,5,2,0,105
"Entire home/apt",21,5,2,0,82
"Entire home/apt",0,0,1,2,72
"Entire home/apt",31,5,6,2,57
"Entire home/apt",28,4.5,5,2,117
"Entire home/apt",125,5,2,1,92
"Entire home/apt",22,5,2,0,88
"Entire home/apt",85,4.5,3,1,94
"Entire home/apt",164,5,3,1,121
"Entire home/apt",49,5,3,0,83
"Entire home/apt",194,5,2,1,115
"Entire home/apt",21,5,2,1,96
"Entire home/apt",12,5,4,1,78
"Entire home/apt",152,5,4,1,107
"Entire home/apt",14,4.5,4,1,66
"Entire home/apt",338,5,4,1,72
"Entire home/apt",68,5,4,2,91
"Entire home/apt",26,5,4,1,81
"Entire home/apt",16,5,2,1,90
"Entire home/apt",16,5,2,0,74
"Entire home/apt",15,5,4,1,105
"Entire home/apt",84,4.5,5,2,89
"Entire home/apt",65,5,6,2,112
"Entire home/apt",3,5,3,1,83
"Entire home/apt",69,5,4,1,101
"Entire home/apt",20,5,4,2,72
"Entire home/apt",266,4.5,3,1,72
"Entire home/apt",42,4.5,4,1,90
"Entire home/apt",43,5,2,1,78
"Entire home/apt",29,4.5,2,1,55
"Entire home/apt",108,5,4,1,75
"Entire home/apt",76,5,4,1,72
"Entire home/apt",43,5,4,1,77
"Entire home/apt",127,4.5,2,1,76
"Entire home/apt",7,4.5,6,3,118
"Entire home/apt",58,5,2,1,85
"Entire home/apt",110,5,2,0,79
"Entire home/apt",9,5,4,1,87
"Entire home/apt",101,4.5,4,1,92
"Entire home/apt",112,5,2,1,83
"Entire home/apt",21,5,2,0,86
"Entire home/apt",97,5,2,1,76
"Entire home/apt",129,5,4,1,81
"Entire home/apt",83,5,4,1,72
"Entire home/apt",0,0,2,1,57
"Entire home/apt",115,5,4,1,56
"Entire home/apt",96,5,4,1,40
"Entire home/apt",2,0,3,0,73
"Entire home/apt",67,5,3,1,60
"Entire home/apt",24,5,3,2,77
"Entire home/apt",131,5,1,0,68
"Entire home/apt",1,0,2,0,38
"Entire home/apt",1,0,3,1,43
"Entire home/apt",10,5,2,1,51
"Entire home/apt",10,5,3,1,47
"Entire home/apt",26,4.5,2,1,30
"Entire home/apt",2,0,2,0,50
"Private room",11,5,6,2,106
"Private room",6,5,4,1,76
"Private room",38,5,4,1,61
"Private room",8,5,3,2,48
"Private room",1,0,2,1,118
"Private room",17,5,2,1,213
"Private room",9,4.5,4,1,117
"Private room",5,4.5,2,1,72
"Private room",391,5,2,1,79
"Private room",31,5,3,2,93
"Private room",5,5,5,2,112
"Private room",40,5,5,3,100
"Private room",214,5,5,2,77
"Private room",35,5,2,1,72
"Private room",55,4.5,5,2,89
"Private room",12,5,2,1,93
"Private room",1,0,2,1,111
"Private room",18,5,2,1,60
"Private room",10,4.5,2,1,99
"Private room",35,5,2,1,100
"Private room",2,0,2,1,78
"Private room",14,4.5,2,1,121
"Private room",29,5,2,1,103
"Private room",4,5,2,1,68
"Private room",8,5,4,1,59
"Private room",8,4.5,2,1,58
"Private room",216,5,2,1,101
"Private room",35,4.5,4,1,87
"Private room",34,5,2,1,55
"Private room",0,0,2,1,90
"Private room",1,0,3,1,86
"Private room",10,5,2,1,63
"Private room",6,4.5,2,1,57
"Private room",115,5,2,1,78
"Private room",73,5,2,1,112
"Private room",124,5,2,1,65
"Private room",99,5,2,1,88
"Private room",159,5,2,1,79
"Private room",10,5,2,1,64
"Private room",5,4,2,1,92
"Private room",73,4.5,2,1,46
"Private room",0,0,2,1,43
"Private room",8,4.5,4,2,75
"Private room",39,5,2,1,49
"Private room",9,5,2,1,31
"Private room",48,5,2,1,33
"Private room",0,0,2,1,418
"Private room",0,0,2,1,211
"Private room",0,0,2,1,264
"Private room",0,0,2,1,255
"Private room",0,0,2,1,350
"Private room",0,0,2,1,206
"Private room",2,0,2,1,195
"Private room",0,0,2,1,338
"Private room",155,5,4,2,355
"Private room",24,5,2,1,162
